Date,Total Cases,New Cases,Days after surpassing 100 cases
30-01-2020,1,1,
31-01-2020,1,0,
01-02-2020,1,0,
02-02-2020,2,1,
03-02-2020,3,1,
04-02-2020,3,0,
05-02-2020,3,0,
06-02-2020,3,0,
07-02-2020,3,0,
08-02-2020,3,0,
09-02-2020,3,0,
10-02-2020,3,0,
11-02-2020,3,0,
12-02-2020,3,0,
13-02-2020,3,0,
14-02-2020,3,0,
15-02-2020,3,0,
16-02-2020,3,0,
17-02-2020,3,0,
18-02-2020,3,0,
19-02-2020,3,0,
20-02-2020,3,0,
21-02-2020,3,0,
22-02-2020,3,0,
23-02-2020,3,0,
24-02-2020,3,0,
25-02-2020,3,0,
26-02-2020,3,0,
27-02-2020,3,0,
28-02-2020,3,0,
29-02-2020,3,0,
01-03-2020,3,0,
02-03-2020,6,3,
03-03-2020,9,3,
04-03-2020,28,19,
05-03-2020,30,2,
06-03-2020,31,1,
07-03-2020,34,3,
08-03-2020,39,5,
09-03-2020,43,4,
10-03-2020,56,13,
11-03-2020,62,6,
12-03-2020,73,11,
13-03-2020,82,9,
14-03-2020,102,20,0
15-03-2020,113,11,1
16-03-2020,119,6,2
17-03-2020,142,23,3
18-03-2020,156,14,4
19-03-2020,194,38,5
20-03-2020,244,50,6
21-03-2020,271,27,7
